token          lexeme

function       Keyword
convert$       Identifier
[              Seperator
fahr           Identifier
:              Operator
int            Keyword
]              Seperator
{              Seperator
return         Keyword
5              Integer
*              Operator
(              Seperator
3              Integer
-              Operator
32             Integer
)              Seperator
/              Operator
9              Integer
;              Operator
}              Seperator
%%             Operator
int            Keyword
low            Identifier
,              Seperator
high           Identifier
,              Seperator
step$          Identifier
;              Operator
get            Keyword
(              Seperator
low            Identifier
,              Seperator
high           Identifier
,              Seperator
step$          Identifier
)              Seperator
;              Operator
while          Keyword
(              Seperator
low            Identifier
<              Operator
high           Identifier
)              Seperator
{              Seperator
put            Keyword
(              Seperator
low            Identifier
)              Seperator
;              Operator
put            Keyword
(              Seperator
convert$       Identifier
(              Seperator
low            Identifier
)              Seperator
)              Seperator
;              Operator
low            Identifier
=              Operator
low            Identifier
+              Operator
step$          Identifier
;              Operator
}              Seperator
